epoch,step_name,timestamp,avg_score,normalized_score,train_score,train_normalized,perfect_match,result_match,partial_match,wrong_result,error_count,total_samples,success_rate,error_rate,elapsed_time,total_tokens,prompt_tokens,completion_tokens
0,Baseline (Val),2025-11-30 15:31:18,1.0514,0.3004,0,0,0,0,3,0,7,10,30.0,70.0,2.55,0,0,0
1,Depth 1 (Val),2025-11-30 15:32:10,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,54.74,0,0,0
2,Depth 2 (Val),2025-11-30 15:32:55,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,100.08,0,0,0
3,Depth 3 (Val),2025-11-30 15:33:41,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,145.39,0,0,0
4,Depth 4 (Val),2025-11-30 15:34:27,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,191.76,0,0,0
5,Depth 5 (Val),2025-11-30 15:35:14,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,239.19,0,0,0
6,Depth 6 (Val),2025-11-30 15:36:02,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,286.92,0,0,0
7,Depth 7 (Val),2025-11-30 15:36:51,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,336.29,0,0,0
8,Depth 8 (Val),2025-11-30 15:37:45,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,390.14,0,0,0
9,Depth 9 (Val),2025-11-30 15:38:35,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,439.79,0,0,0
10,Depth 10 (Val),2025-11-30 15:39:24,1.0514,0.3004,1.0216,0.2919,0,0,3,0,7,10,30.0,70.0,489.19,0,0,0
11,Final (Test),2025-11-30 15:40:30,1.288,0.368,0,0,0,0,17,0,30,47,36.17,63.83,554.81,0,0,0
