epoch,timestamp,avg_score,normalized_score,perfect_match,result_match,partial_match,wrong_result,error_count,total_samples,success_rate,error_rate,elapsed_time,total_tokens
0,2025-11-30 15:31:18,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,2.55,0
1,2025-11-30 15:32:10,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,54.74,0
2,2025-11-30 15:32:55,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,100.08,0
3,2025-11-30 15:33:41,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,145.39,0
4,2025-11-30 15:34:27,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,191.76,0
5,2025-11-30 15:35:14,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,239.19,0
6,2025-11-30 15:36:02,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,286.92,0
7,2025-11-30 15:36:51,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,336.29,0
8,2025-11-30 15:37:45,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,390.14,0
9,2025-11-30 15:38:35,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,439.79,0
10,2025-11-30 15:39:24,1.0514,0.3004,0,0,3,0,7,10,30.0,70.0,489.19,0
11,2025-11-30 15:40:30,1.288,0.368,0,0,17,0,30,47,36.17,63.83,554.81,0
